2016-10-17 15:09:087   Output LSCData----->374=0xD9
2016-10-17 15:09:088   Output LSCData----->375=0x2C
2016-10-17 15:09:088   Output LSCData----->376=0x4D
2016-10-17 15:09:088   Output LSCData----->377=0x2C
2016-10-17 15:09:088   Output LSCData----->378=0x1C
2016-10-17 15:09:089   Output LSCData----->379=0x2D
2016-10-17 15:09:089   Output LSCData----->380=0x35
2016-10-17 15:09:089   Output LSCData----->381=0x2F
2016-10-17 15:09:089   Output LSCData----->382=0xE6
2016-10-17 15:09:090   Output LSCData----->383=0x2E
2016-10-17 15:09:090   Output LSCData----->384=0x82
2016-10-17 15:09:090   Output LSCData----->385=0x2E
2016-10-17 15:09:090   Output LSCData----->386=0x45
2016-10-17 15:09:091   Output LSCData----->387=0x2F
2016-10-17 15:09:091   Output LSCData----->388=0xF6
2016-10-17 15:09:091   Output LSCData----->389=0x32
2016-10-17 15:09:091   Output LSCData----->390=0x9E
2016-10-17 15:09:091   Output LSCData----->391=0x32
2016-10-17 15:09:092   Output LSCData----->392=0x71
2016-10-17 15:09:092   Output LSCData----->393=0x32
2016-10-17 15:09:092   Output LSCData----->394=0xEA
2016-10-17 15:09:092   Output LSCData----->395=0x32
2016-10-17 15:09:093   Output LSCData----->396=0x69
2016-10-17 15:09:093   Output LSCData----->397=0x38
2016-10-17 15:09:093   Output LSCData----->398=0xF2
2016-10-17 15:09:094   Output LSCData----->399=0x37
2016-10-17 15:09:094   Output LSCData----->400=0xAA
2016-10-17 15:09:094   Output LSCData----->401=0x37
2016-10-17 15:09:094   Output LSCData----->402=0x57
2016-10-17 15:09:095   Output LSCData----->403=0x38
2016-10-17 15:09:095   Output LSCData----->404=0xAD
2016-10-17 15:09:095   Output LSCData----->405=0x3E
2016-10-17 15:09:095   Output LSCData----->406=0x6F
2016-10-17 15:09:096   Output LSCData----->407=0x3E
2016-10-17 15:09:096   Output LSCData----->408=0x11
2016-10-17 15:09:096   Output LSCData----->409=0x3E
2016-10-17 15:09:096   Output LSCData----->410=0xAA
2016-10-17 15:09:097   Output LSCData----->411=0x3E
2016-10-17 15:09:097   Output LSCData----->412=0xD8
2016-10-17 15:09:097   Output LSCData----->413=0x45
2016-10-17 15:09:097   Output LSCData----->414=0x42
2016-10-17 15:09:098   Output LSCData----->415=0x46
2016-10-17 15:09:098   Output LSCData----->416=0xA5
2016-10-17 15:09:098   Output LSCData----->417=0x45
2016-10-17 15:09:098   Output LSCData----->418=0xED
2016-10-17 15:09:099   Output LSCData----->419=0x45
2016-10-17 15:09:099   Output LSCData----->420=0x8C
2016-10-17 15:09:099   Output LSCData----->421=0x4A
2016-10-17 15:09:099   Output LSCData----->422=0x65
2016-10-17 15:09:100   Output LSCData----->423=0x4B
2016-10-17 15:09:100   Output LSCData----->424=0x46
2016-10-17 15:09:100   Output LSCData----->425=0x4A
2016-10-17 15:09:100   Output LSCData----->426=0x89
2016-10-17 15:09:101   Output LSCData----->427=0x4A
2016-10-17 15:09:101   Output LSCData----->428=0xF7
2016-10-17 15:09:101   Output LSCData----->429=0x48
2016-10-17 15:09:101   Output LSCData----->430=0x95
2016-10-17 15:09:102   Output LSCData----->431=0x4A
2016-10-17 15:09:102   Output LSCData----->432=0x0B
2016-10-17 15:09:102   Output LSCData----->433=0x47
2016-10-17 15:09:102   Output LSCData----->434=0xE9
2016-10-17 15:09:102   Output LSCData----->435=0x48
2016-10-17 15:09:103   Output LSCData----->436=0xB0
2016-10-17 15:09:103   Output LSCData----->437=0x43
2016-10-17 15:09:103   Output LSCData----->438=0x93
2016-10-17 15:09:103   Output LSCData----->439=0x44
2016-10-17 15:09:104   Output LSCData----->440=0x5A
2016-10-17 15:09:104   Output LSCData----->441=0x42
2016-10-17 15:09:104   Output LSCData----->442=0x94
2016-10-17 15:09:104   Output LSCData----->443=0x43
2016-10-17 15:09:106   Output LSCData----->444=0x27
2016-10-17 15:09:106   Output LSCData----->445=0x3C
2016-10-17 15:09:106   Output LSCData----->446=0x81
2016-10-17 15:09:106   Output LSCData----->447=0x3C
2016-10-17 15:09:106   Output LSCData----->448=0x21
2016-10-17 15:09:106   Output LSCData----->449=0x3B
2016-10-17 15:09:106   Output LSCData----->450=0xF2
2016-10-17 15:09:106   Output LSCData----->451=0x3B
2016-10-17 15:09:108   Output LSCData----->452=0xA4
2016-10-17 15:09:108   Output LSCData----->453=0x35
2016-10-17 15:09:108   Output LSCData----->454=0x9E
2016-10-17 15:09:108   Output LSCData----->455=0x35
2016-10-17 15:09:109   Output LSCData----->456=0xC5
2016-10-17 15:09:109   Output LSCData----->457=0x34
2016-10-17 15:09:109   Output LSCData----->458=0x7B
2016-10-17 15:09:109   Output LSCData----->459=0x35
2016-10-17 15:09:110   Output LSCData----->460=0x37
2016-10-17 15:09:110   Output LSCData----->461=0x30
2016-10-17 15:09:110   Output LSCData----->462=0xBB
2016-10-17 15:09:110   Output LSCData----->463=0x2F
2016-10-17 15:09:111   Output LSCData----->464=0x55
2016-10-17 15:09:111   Output LSCData----->465=0x2F
2016-10-17 15:09:111   Output LSCData----->466=0xF8
2016-10-17 15:09:111   Output LSCData----->467=0x2F
2016-10-17 15:09:112   Output LSCData----->468=0x14
2016-10-17 15:09:112   Output LSCData----->469=0x2C
2016-10-17 15:09:112   Output LSCData----->470=0xC9
2016-10-17 15:09:112   Output LSCData----->471=0x2B
2016-10-17 15:09:112   Output LSCData----->472=0x7C
2016-10-17 15:09:113   Output LSCData----->473=0x2B
2016-10-17 15:09:113   Output LSCData----->474=0xF2
2016-10-17 15:09:113   Output LSCData----->475=0x2B
2016-10-17 15:09:113   Output LSCData----->476=0x71
2016-10-17 15:09:114   Output LSCData----->477=0x29
2016-10-17 15:09:114   Output LSCData----->478=0x5E
2016-10-17 15:09:114   Output LSCData----->479=0x29
2016-10-17 15:09:114   Output LSCData----->480=0xFC
2016-10-17 15:09:115   Output LSCData----->481=0x28
2016-10-17 15:09:115   Output LSCData----->482=0x6E
2016-10-17 15:09:115   Output LSCData----->483=0x29
2016-10-17 15:09:115   Output LSCData----->484=0x91
2016-10-17 15:09:116   Output LSCData----->485=0x28
2016-10-17 15:09:116   Output LSCData----->486=0x50
2016-10-17 15:09:116   Output LSCData----->487=0x28
2016-10-17 15:09:116   Output LSCData----->488=0xF2
2016-10-17 15:09:117   Output LSCData----->489=0x27
2016-10-17 15:09:117   Output LSCData----->490=0x8A
2016-10-17 15:09:117   Output LSCData----->491=0x28
2016-10-17 15:09:117   Output LSCData----->492=0x2C
2016-10-17 15:09:118   Output LSCData----->493=0x29
2016-10-17 15:09:118   Output LSCData----->494=0xE7
2016-10-17 15:09:118   Output LSCData----->495=0x28
2016-10-17 15:09:118   Output LSCData----->496=0xAA
2016-10-17 15:09:119   Output LSCData----->497=0x28
2016-10-17 15:09:119   Output LSCData----->498=0x1A
2016-10-17 15:09:119   Output LSCData----->499=0x29
2016-10-17 15:09:119   Output LSCData----->500=0x6B
2016-10-17 15:09:119   Output LSCData----->501=0x2B
2016-10-17 15:09:120   Output LSCData----->502=0xE2
2016-10-17 15:09:120   Output LSCData----->503=0x2A
2016-10-17 15:09:120   Output LSCData----->504=0xD6
2016-10-17 15:09:121   Output LSCData----->505=0x2A
2016-10-17 15:09:121   Output LSCData----->506=0x77
2016-10-17 15:09:121   Output LSCData----->507=0x2B
2016-10-17 15:09:121   Output LSCData----->508=0xF0
